,Grade,Year,Category,Number Tested
35,3,2011,Asian,11007
36,4,2011,Asian,10743
37,5,2011,Asian,11463
38,6,2011,Asian,10328
39,7,2011,Asian,10475
40,8,2011,Asian,11031
41,All Grades,2011,Asian,65047
77,3,2011,Black,19784
78,4,2011,Black,20272
79,5,2011,Black,19817
80,6,2011,Black,20312
81,7,2011,Black,21095
82,8,2011,Black,21555
83,All Grades,2011,Black,122835
119,3,2011,Hispanic,29587
120,4,2011,Hispanic,29199
121,5,2011,Hispanic,28298
122,6,2011,Hispanic,28049
123,7,2011,Hispanic,28229
124,8,2011,Hispanic,28681
125,All Grades,2011,Hispanic,172043
161,3,2011,White,11394
162,4,2011,White,10867
163,5,2011,White,10808
164,6,2011,White,9875
165,7,2011,White,9679
166,8,2011,White,9570
167,All Grades,2011,White,62193
